entity_type,id,name,parent_tm,status,changed_fields
TM,607,DENİZLİ ÇİMENTO,,unchanged,
TM,608,KÜRE,,unchanged,
TM,609,BATMAN HES,,unchanged,
TM,610,KARAİSALI,,unchanged,
TM,611,SURUÇ,,unchanged,
TM,612,HAVSA,,unchanged,
TM,614,ACIPAYAM,,unchanged,
TM,615,BATMAN1,,unchanged,
TM,616,ONDOKUZMAYIS,,unchanged,
TM,618,ÇİMSA,,unchanged,
TM,619,SIRRIN,,updated,Rakım (m)
TM,620,BATMAN2,,unchanged,
TM,621,SAMSUN1,,unchanged,
TM,622,PINARHİSAR,,unchanged,
TM,623,BOZKURT,,unchanged,
TM,625,DİYARBAKIR4,,unchanged,
TM,626,YENİ ŞEHİTLİK,,unchanged,
TM,627,SAMSUN3,,unchanged,
TM,628,TEFENNİ,,unchanged,
TM,630,YÜREĞİR,,unchanged,
TM,631,ŞANLIURFA,,unchanged,
TM,632,DİYARBAKIR3,,unchanged,
TM,633,GEZENDE HES,,unchanged,
TM,634,KIZILDERE1 JES,,unchanged,
TM,635,KEŞAN,,unchanged,
TM,637,DİYARBAKIR2,,unchanged,
TM,638,ŞANLIURFA OSB,,unchanged,
TM,639,CENGİZ DGKÇ,,unchanged,
TM,640,BİRKAPILI HES,,unchanged,
TM,642,ŞANLIURFA ÇİMENTO,,unchanged,
TM,643,NAKSAN2,,unchanged,
TM,644,TAVAS,,unchanged,
TM,645,KASTAMONU,,unchanged,
TM,647,KASTAMONU OSB,,unchanged,
TM,649,YAZGÜNEŞİ,,unchanged,
TM,650,TAŞKÖPRÜ,,unchanged,
TM,651,RWE DENİZLİ DGKÇS,,unchanged,
TM,652,OTLUCA HES,,unchanged,
TM,653,VİRANŞEHİR,,unchanged,
TM,654,DAĞPAZARI RES,,unchanged,
TM,656,KUMLİMANI,,updated,Rakım (m)
TM,657,MERSİN RES,,unchanged,
TM,658,YARDIMCI,,unchanged,
TM,659,BOYABAT,,unchanged,
TM,660,BELKIS,,unchanged,
TM,663,VEZİRKÖPRÜ,,unchanged,
TM,665,KARKAMIŞ HES,,unchanged,
TM,666,KARAKEÇİLİ,,unchanged,
TM,668,LADİK ÇİMENTO,,unchanged,
TM,669,EDİRNE ÇİMENTO,,unchanged,
TM,673,KARGI,,unchanged,
TM,674,FEVZİPAŞA,,unchanged,
TM,675,KIRKLARELİ,,unchanged,
TM,676,ÇANKIRI,,unchanged,
TM,678,KURŞUNLU,,unchanged,
TM,679,PEKMEZLİ,,unchanged,
TM,680,ELGÜN,,unchanged,
TM,681,ÇORUM1,,unchanged,
TM,682,ACARSOY ENERJİ,,unchanged,
TM,683,ZORLU ENERJİ DGKÇ,,unchanged,
TM,684,TATARHÖYÜK,,unchanged,
TM,685,KARACA,,unchanged,
TM,686,ÇORUM2,,unchanged,
TM,687,DİNAR,,unchanged,
TM,688,AMASYA,,unchanged,
TM,689,HACININOĞLU HES,,unchanged,
TM,690,ALKUMRU HES,,unchanged,
TM,691,KAYABAŞI,,updated,Boylam | Rakım (m)
TM,693,ALACA,,unchanged,
TM,694,SARIGÜZEL HES,,unchanged,
TM,695,KULP1 HES,,unchanged,
TM,697,VAN1,,unchanged,
TM,699,OBRUK HES,,unchanged,
TM,700,İNEBOLU,,unchanged,
TM,701,YOKUŞLU HES,,unchanged,
TM,703,BOYABAT HES,,unchanged,
TM,708,KIRKLARELİ DGKÇ,,removed-from-source,
TM,710,BURGAZ RES,,unchanged,
TM,712,CAN ENERJİ DGKÇ,,unchanged,
TM,716,ÇERKEZKÖY OSB,,unchanged,
TM,717,KARAKAYA HES,,unchanged,
TM,719,MODERN ENERJİ DGKÇ,,unchanged,
TM,720,ALİBEYKÖY,,unchanged,
TM,721,ERGANİ ÇİMENTO,,unchanged,
TM,722,ATIŞALANI,,unchanged,
TM,723,KAVAK OSB,,unchanged,
TM,724,TRAKYA ÇİMENTO,,unchanged,
TM,725,ELBİSTAN-B TES 154,,unchanged,
TM,728,KUZOVA,,unchanged,
TM,729,ÇATALCA RES,,unchanged,
TM,730,İKİTELLİ,,unchanged,
TM,731,SUNGURLU OSB,,unchanged,
TM,732,HABİBLER,,unchanged,
TM,733,DELTA ENERJİ DGKÇ,,unchanged,
TM,736,DİYARBAKIR1,,unchanged,
TM,739,MARMARA PAMUKLU DGKÇ,,unchanged,
TM,740,GARZAN HES,,unchanged,
TM,741,SÖĞÜTSEN,,unchanged,
TM,742,ZEKERİYAKÖY,,unchanged,
TM,743,KAYADÜZÜ RES,,unchanged,
TM,744,SARIKAYA RES,,unchanged,
TM,745,SULTANMURAT,,unchanged,
TM,750,TOPKAPI,,unchanged,
TM,752,BAĞCILAR,,unchanged,
TM,755,BİZNA HAVZA,,unchanged,
TM,756,SİLAHTAR,,unchanged,
TM,757,YENİBOSNA,,unchanged,
TM,759,VELİEFENDİ,,unchanged,
TM,760,ENEZ,,unchanged,
TM,761,ETİLER,,unchanged,
TM,762,MURAT HES,,unchanged,
TM,763,LEVENT,,unchanged,
TM,764,ŞİŞLİ,,unchanged,
TM,765,GEÇİCİ ILISU,,unchanged,
TM,766,HADIMKÖY,,unchanged,
TM,767,BAHÇELİEVLER,,unchanged,
TM,768,BOREAS RES,,unchanged,
TM,769,BEYLİKDÜZÜ,,unchanged,
TM,770,UZUNDERE1 HES,,unchanged,
TM,772,MASLAK,,unchanged,
TM,773,TAŞOLUK,,unchanged,
TM,774,BAHÇEŞEHİR,,unchanged,
TM,776,ORDU,,unchanged,
TM,777,GİRESUN,,unchanged,
TM,778,TİREBOLU,,unchanged,
TM,779,ARSİN,,unchanged,
TM,780,GÖLKÖY,,unchanged,
TM,781,FATSA,,unchanged,
TM,784,ÇARŞAMBA,,unchanged,
TM,785,TRABZON,,unchanged,
TM,786,ÜNYE,,unchanged,
TM,787,HASAN UĞURLU HES,,unchanged,
TM,788,DOĞANKENT HES,,unchanged,
TM,790,ALMUS HES,,unchanged,
TM,791,SUAT UĞURLU HES,,unchanged,
TM,792,KÜRTÜN HES,,unchanged,
TM,793,TOKAT,,unchanged,
